,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
444,2020-11-02,159,5,69,3,1842754,24901791,4904920,21839625,47473619666,641489761235,126359883782,562603497119,25762.32077965914,25761.864369245573,25760.788098936337,25760.675703863963,-3062166.0
445,2020-11-01,180,5,63,5,8437821,6129499,4366360,10200960,217221096334,157791294570,112404056631,262608334273,25743.743122069074,25743.19493376634,25742.935037594427,25743.49220789024,4071461.0
446,2020-10-31,155,3,105,5,5412416,5084487,2946152,7550751,139232072848,130775665786,75787752366,194219986268,25724.56973891142,25724.31848933796,25720.523188671737,25721.942925677195,2466264.0
447,2020-10-28,195,2,109,2,9905045,3251320,5740424,7415941,254483104770,83526410800,147482111260,190527404310,25692.271440462915,25691.849811094093,25690.0,25691.60195718925,4164621.0
448,2020-10-27,282,7,54,3,19806298,11316350,1087410,30035238,508604086730,290557189500,27919134370,771242141860,25678.907119846426,25674.892055434473,25675.87512758089,25677.91012210391,18718888.0
449,2020-10-26,223,6,71,4,34724117,16030288,2440253,48314152,891105646390,411338590080,62620100110,1239824136360,25662.44222682466,25661.314671060747,25660.08733467546,25661.717841182435,32283864.0
450,2020-10-24,208,3,69,4,10059398,14854257,1953260,22960395,257916876100,380753662820,50071945550,588598593370,25639.394733163954,25635.0642259607,25632.629273884246,25635.386210472425,8106138.0
451,2020-10-21,149,9,58,3,7026018,6203917,1849647,11380288,179887870280,158824055980,47356750580,291355175680,25603.10410249447,25603.12891054347,25600.60941821111,25601.740103589647,5176371.0
452,2020-10-20,173,6,74,4,11081813,18004872,2633687,26452998,283611105410,460638981300,67399641560,676850445150,25592.4825125636,25591.363575094536,25584.12974554887,25586.908718248116,8448126.0
453,2020-10-19,133,5,59,6,10929287,20352940,2401446,28880781,279447888060,520349934370,61397088250,738400734180,25568.72081957405,25566.716157681665,25566.327732995822,25567.201045567293,8527841.0
454,2020-10-18,115,4,65,4,9631910,6829088,1873925,14587073,246245206750,174516455280,47912611780,372849050250,25565.56350194302,25568.051965793722,25554.86988599356,25560.23749589791,7757985.0
455,2020-10-14,138,7,52,2,10803410,4662084,750307,14715187,275836814820,119026504980,19159038920,375704280880,25532.384202765606,25534.93292745503,25530.750835892275,25531.736761483222,10053103.0
456,2020-10-13,129,6,77,4,5512857,3469000,1889064,7092793,140667556190,88503760000,48197102760,180974213430,25516.271543049275,25513.74795136639,25512.758720092246,25515.22558602796,3623793.0
457,2020-10-12,112,6,79,11,5151522,23358467,2754926,25755063,131356771290,595504542850,70265210440,656596103700,25498.633469875505,25505.298668639374,25494.162046250724,25493.865175169634,2396596.0
458,2020-10-11,100,2,107,7,2099669,9924735,8835234,3189170,53534386140,253024801880,225237397480,81321790540,25496.583575792185,25493.087956697014,25494.363514995614,25499.358936651228,-6735565.0
459,2020-10-10,107,8,73,8,10532673,23676440,3529237,30679876,268354698340,603011163060,89904108680,781461752720,25478.309099693877,25474.092184798017,25468.827368472626,25471.4768964516,7003436.0
460,2020-10-07,94,10,83,4,1977700,31357702,9615367,23720035,50344638000,798120314060,244734199930,603730752130,25456.15512969611,25452.403421523068,25452.130199464234,25452.35502940868,-7637667.0
461,2020-10-06,84,3,60,4,3497217,22579095,4962412,21113900,88905847190,573974021930,126161914180,536717954940,25421.884655713387,25423.50658913448,25420.594666438137,25420.12394394214,-1465195.0
462,2020-10-05,124,7,60,3,6878038,25681246,1623896,30935388,174823271110,652578212710,41274544440,786126939380,25417.607624441738,25416.98756570618,25410.69123787841,25411.898482734403,5254142.0
463,2020-10-04,115,8,62,3,5649742,14087790,3496238,16241294,143534293220,357828371880,88815038510,412547626590,25405.45979267726,25403.029916727635,25399.89394220101,25401.155018190053,2153504.0
464,2020-10-03,127,4,117,7,7130420,7180000,3222276,11088144,181007002910,182257574510,81797199180,281467378240,25385.181084704687,25384.9140110903,25384.063302228413,25384.534890600265,3908144.0
465,2020-09-30,116,4,71,4,3862824,7169908,3370390,7662342,97935081480,181773336640,85455835660,194252582460,25353.234183074353,25354.88049157516,25352.255097276004,25351.593867775675,492434.0
466,2020-09-29,108,6,78,3,3212791,18777694,1690485,20300000,81449425950,476015463970,42857389920,514607500000,25351.61046890383,25352.12670919884,25350.04905128393,25350.12315270936,1522306.0
467,2020-09-28,161,8,47,3,14072345,8049383,886774,21234954,356635520890,203989496700,22478916760,538146100830,25343.005795409365,25349.09318496032,25342.252530411337,25342.46605055043,13185571.0
468,2020-09-27,161,13,57,4,51611482,68164529,851048,118924963,1306721613140,1725000061190,21544748710,3010176925620,25318.428429162333,25315.550603491225,25306.41796395307,25311.56495394495,50760434.0
469,2020-09-26,110,7,59,3,1821508,10329890,487422,11663976,46127225270,261589343670,12341215020,295375353920,25323.646819009304,25319.363959772025,25323.536230298676,25323.727854035365,1334086.0
470,2020-09-23,119,9,66,3,4801546,39966050,883776,43883820,121461270490,1010948884770,22365337160,1110044818100,25296.283840662985,25306.56768230864,25295.19141296175,25295.081834261466,3917770.0
471,2020-09-22,84,3,65,1,2078446,2016030,3094476,1000000,52501466620,50994344500,78235716050,25260095070,25259.961827249783,25282.37932690381,25294.437334761882,25260.09507,-1016030.0
472,2020-09-21,56,7,43,3,4005398,15885544,704363,19186579,101101930730,400950980560,17777392210,484275519080,25241.419387037193,25238.963730349267,25239.990557452737,25240.32653658581,3301035.0
473,2020-09-20,84,10,108,5,10133541,41969255,836996,51265800,256161934560,1061185565270,21164423530,1296183076300,25278.62023353929,25286.170459595985,25284.83208172268,25283.58235509833,9296545.0
474,2020-09-19,78,7,127,2,33226353,25647078,660243,58213188,840823152150,649358105790,16715994480,1473465263460,25305.911610281153,25317.942757439305,25318.989780824155,25311.537025939895,32566110.0
475,2020-09-16,93,6,126,5,2065636,47861400,1627974,48299062,52242181880,1210613537530,41175682830,1221680036580,25291.08801357064,25292.59240626693,25294.1522297718,25294.07375613216,437662.0
476,2020-09-15,104,6,138,3,1754461,47225264,5433241,43546484,44294747680,1192468369250,137177586120,1099585530810,25246.926366559303,25247.837546687144,25250.644850815446,25250.845299243905,-3678780.0
477,2020-09-14,88,7,104,3,1720084,23193331,4733307,20180108,43335559190,585163086700,119380007330,509118638560,25193.86215440641,25221.268624663477,25229.799320330487,25228.737059286304,-3013223.0
478,2020-09-13,123,6,51,2,6699437,34636169,453579,40882027,168464811320,871292607040,11417157160,1028340261200,25146.11471381849,25171.264895420645,25155.57095936332,25153.84721995316,6245858.0
479,2020-09-12,137,3,90,3,2691555,4252142,1475270,5468427,67831959350,107143358000,37177261520,137798055830,25201.773454378603,25200.31012628197,25197.50234117299,25198.84709624907,1216285.0
480,2020-09-09,150,2,102,1,4999076,8640868,1789944,11850000,125672547750,216991527110,45071555120,297592519740,25139.155265893136,25180.427499407804,25112.23723241693,25113.29280506329,3209132.0
481,2020-09-08,260,3,74,6,5808251,1525067,1107943,6225375,147194673020,38584213440,28173654940,157605231520,25342.340236329317,25428.7945679516,25300.012025701166,25316.584385679576,4700308.0
482,2020-09-07,145,0,67,3,1874039,0,859510,1014529,47456701510,0,21765050820,25691650690,25323.21979958795,25322.62663610662,,25323.722328292242,1014529.0
483,2020-09-06,123,3,70,2,1348958,1171051,859609,1660400,34070232670,29533660470,21714083990,41889809150,25256.7038187994,25260.419551214563,25219.790145775034,25228.745573355816,489349.0
484,2020-09-05,99,1,56,3,892857,75911,517278,451490,22504573720,1910144370,13035453840,11379264250,25205.126599220257,25200.093257397377,25162.94568639591,25203.801302354426,375579.0
485,2020-09-02,96,1,40,3,1245589,2010000,1906524,1349065,31372716640,50584809370,47984384610,33973141400,25187.053385988474,25168.518523763665,25166.571825870647,25182.73129908492,-660935.0
486,2020-09-01,65,2,55,1,491748,269154,724116,36786,12342123040,6749286290,18166749910,924659420,25098.471249501777,25088.17635572201,25075.92787028987,25136.177350078833,-232368.0
487,2020-08-31,110,1,67,2,5130258,1405988,956246,5580000,128721208580,35205939520,24054506440,139872641660,25090.591658353245,25155.14463851352,25040.0,25066.781659498207,4174012.0
488,2020-08-26,89,4,71,6,2822448,15363532,1310162,16875818,70656010970,384706138180,32804342410,422557806740,25033.591750848907,25038.3864056506,25040.214592581968,25039.24886722528,1512286.0
489,2020-08-25,73,2,69,1,2901982,50204,852186,2100000,72388927710,1252595920,21246394570,52395129060,24944.650831741892,24931.640005820325,24950.121902637242,24950.061457142856,2049796.0
490,2020-08-24,131,3,47,1,3490056,1225088,1715144,3000000,87465436470,30597538890,43191497370,74871477990,25061.32751738081,25182.43212814784,24975.788588248353,24957.15933,1774912.0
491,2020-08-23,82,0,57,0,718091,0,718091,0,18092248430,0,18092248430,0,25194.924361954127,25194.924361954127,,,0.0
492,2020-08-22,109,2,46,6,3448313,1538568,3416298,1570583,86337929730,38464471880,85491088480,39311313130,25037.729965348273,25024.4821968107,25000.176709771684,25029.758459119956,32015.0
493,2020-08-19,59,0,29,2,259105,0,232257,26848,6546470020,0,5867367620,679102400,25265.703170529323,25262.39303874587,,25294.338498212157,26848.0
494,2020-08-18,41,0,40,2,434210,0,200810,233400,10886215950,0,5028455950,5857760000,25071.31560765528,25040.864249788356,,25097.514995715508,233400.0
495,2020-08-17,41,0,54,4,7604484,0,893694,6710790,189474220240,0,22283325420,167190894820,24916.11794304518,24933.95437364467,,24913.74261748617,6710790.0
496,2020-08-16,74,1,49,3,1409731,201627,1107232,504126,35116984610,5028561110,27585810720,12559735000,24910.415256527664,24914.210138435305,24939.919306442094,24913.88065681992,302499.0
497,2020-08-15,36,1,38,7,1029642,200000,430099,799543,25571531180,4958858170,10675061480,19855327870,24835.361397456592,24820.009997698206,24794.29085,24833.34588633757,599543.0
498,2020-08-12,34,3,53,7,4781915,1045484,1558799,4268600,118262107830,25895953240,38590747350,105567313720,24731.118773545746,24756.718056657723,24769.344380210507,24731.13285854847,3223116.0
499,2020-08-11,42,2,80,3,2356194,299216,830111,1825299,58085851250,7375283290,20472804730,44988329810,24652.406062488913,24662.731526265765,24648.69288407037,24647.101548842136,1526083.0
500,2020-08-10,31,2,59,1,730965,115635,837711,8889,17963679450,2836502640,20581512690,218669400,24575.293550306786,24568.750666996137,24529.793228693736,24600.0,-106746.0
501,2020-08-09,36,3,73,2,596165,1414896,1386640,624421,14595834220,34665910680,33967095380,15294649520,24482.876753918797,24495.972552356776,24500.677562167115,24494.13059458282,-790475.0
502,2020-08-05,40,1,87,2,629681,1600000,1993134,236547,15379231090,39356573130,48958196480,5777607740,24423.84491512369,24563.424476226886,24597.85820625,24424.77706333202,-1363453.0
503,2020-08-04,34,3,79,2,347570,2024970,1572540,800000,8485132220,49419237670,38372660050,19531709840,24412.729004229364,24401.706824627672,24404.92336676593,24414.6373,-1224970.0
504,2020-08-03,35,8,99,2,345874,1033748,1135069,244553,8440810030,25231843090,27702137270,5970515850,24404.291823033822,24405.685707212513,24408.117926225736,24413.995534710266,-789195.0
505,2020-08-02,58,1,87,0,989624,429150,1418774,0,24131195270,10469824260,34601019530,0,24384.20578926946,24387.971255464225,24396.654456483746,,-429150.0
506,2020-08-01,105,3,66,2,2546680,3318809,715489,5150000,62157768920,80985037940,17476714300,125666092560,24407.37309752305,24426.251556627703,24401.837508576118,24401.183021359222,1831191.0
507,2020-07-29,65,2,83,2,1978276,132770,792666,1318380,48337631290,3244190700,19380151080,32201670910,24434.22014420637,24449.32806503622,24434.66671687881,24425.18159407758,1185610.0
508,2020-07-28,93,4,68,2,1957543,1117500,758748,2316295,47790441190,27256285000,18561209260,56485516930,24413.482201923533,24462.94324334298,24390.41163310962,24386.149834110078,1198795.0
509,2020-07-27,28,3,84,1,268900,589013,762813,95100,6589336990,14448227990,18702855980,2334709000,24504.786128672367,24518.27116213279,24529.55705561677,24550.042060988435,-493913.0
510,2020-07-26,65,2,77,3,1939766,527939,857505,1610200,47495402760,12936172770,20997866370,39433709160,24485.119730936618,24487.164937813774,24503.158073186485,24489.9448267296,1082261.0
511,2020-07-25,84,4,70,3,1536599,5069422,2371062,4234959,37526360370,123867120420,57890282830,103503197960,24421.700372055428,24415.33913073551,24434.170290025173,24440.188903835904,-834463.0
512,2020-07-22,99,1,93,3,2528704,647691,1793427,1382968,61838128320,15878800480,43915431180,33801497620,24454.474829794235,24486.879688997655,24516.012234228976,24441.272408327597,735277.0
513,2020-07-21,60,5,97,5,1004332,10343750,4355024,6993058,24421135630,251780392470,106039710560,170161817540,24315.799586192614,24348.823464577923,24341.306824894258,24332.962423592082,-3350692.0
514,2020-07-20,75,6,71,1,650110,682058,1126619,205549,15792164550,16581645260,27379633750,4994176060,24291.526895448464,24302.478255736856,24311.195323564858,24296.7665130942,-476509.0
515,2020-07-19,79,3,58,1,2702638,524480,3127118,100000,65578602920,12718884800,75867487720,2430000000,24264.663976455595,24261.15283145695,24250.466748017083,24300.0,-424480.0
516,2020-07-18,101,6,49,2,6397453,12873836,1028671,18242618,155890977250,312824865120,25127062110,443588780260,24367.66276360295,24426.723519959247,24299.2737456031,24316.070218649536,5368782.0
517,2020-07-15,48,4,60,2,548132,907766,1317690,138208,13451485370,22250835180,32309938920,3392381630,24540.59491144469,24520.136693759534,24511.64196499979,24545.47949467469,-769558.0
518,2020-07-14,76,2,76,1,961241,746386,1516127,191500,23492358130,18266083780,37070675690,4687766220,24439.61309390673,24450.903974403198,24472.704177195177,24479.196971279373,-554886.0
519,2020-07-13,108,7,82,5,7081772,3943369,1363888,9661253,172695183770,96213382290,33304454240,235604111820,24385.871752154686,24418.7603674202,24398.777362706864,24386.49643270909,5717884.0
520,2020-07-12,81,5,59,3,2991030,4142046,1105763,6027313,73032654030,100894712290,27076202720,146851163600,24417.225514287722,24486.443044305153,24358.66532868056,24364.28365342898,1885267.0
521,2020-07-11,67,5,60,6,1377390,3106000,304341,4179049,33487104060,75575709060,7409520340,101653292780,24311.998823862523,24346.112879960307,24332.166471345783,24324.503680143498,1073049.0
522,2020-07-08,95,2,39,2,1887278,280000,802974,1364304,46456666710,6887740000,19733980280,33610426430,24615.69875238306,24576.11364751536,24599.071428571428,24635.584466511864,1084304.0
523,2020-07-07,84,1,66,2,2300950,260231,1965950,595231,56550686410,6375719820,48273227410,14653178820,24577.1035485343,24554.656735929195,24500.23179405989,24617.63385979561,335000.0
524,2020-07-06,73,3,67,0,451026,316058,767084,0,10956679500,7678263900,18634943400,0,24292.78910750156,24293.22394939798,24293.844484240235,,-316058.0
525,2020-07-05,81,1,55,3,672014,1283018,1734183,220849,16216302010,30912692360,41805955550,5323038820,24130.899073531207,24107.00344196662,24093.73240281898,24102.616810580985,-1062169.0
